report_date,location,value
4/2/16,Argentina-Santa_Fe,2
4/2/16,Argentina-Sgo_Del_Estero,0
4/2/16,Argentina-Sgo_Del_Estero,0
4/2/16,Argentina-Sgo_Del_Estero,0
4/2/16,Argentina-Sgo_Del_Estero,0
4/2/16,Argentina-Sgo_Del_Estero,6
4/2/16,Argentina-Sgo_Del_Estero,0
4/2/16,Argentina-Tierra_del_Fuego,0
4/2/16,Argentina-Tierra_del_Fuego,0
4/2/16,Argentina-Tierra_del_Fuego,0
4/2/16,Argentina-Tierra_del_Fuego,0
4/2/16,Argentina-Tierra_del_Fuego,0
4/2/16,Argentina-Tierra_del_Fuego,0
4/2/16,Argentina-Tucuman,0
4/2/16,Argentina-Tucuman,0
4/2/16,Argentina-Tucuman,0
4/2/16,Argentina-Tucuman,0
4/2/16,Argentina-Tucuman,37
4/2/16,Argentina-Tucuman,0
4/9/16,Argentina-Buenos_Aires,0
4/9/16,Argentina-Buenos_Aires,0
4/9/16,Argentina-Buenos_Aires,2
4/9/16,Argentina-Buenos_Aires,1
4/9/16,Argentina-Buenos_Aires,178
4/9/16,Argentina-Buenos_Aires,18
4/9/16,Argentina-CABA,0
4/9/16,Argentina-CABA,0
4/9/16,Argentina-CABA,9
4/9/16,Argentina-CABA,0
4/9/16,Argentina-CABA,86
4/9/16,Argentina-CABA,2
4/9/16,Argentina-Catamarca,0
4/9/16,Argentina-Catamarca,0
4/9/16,Argentina-Catamarca,0
4/9/16,Argentina-Catamarca,0
4/9/16,Argentina-Catamarca,15
4/9/16,Argentina-Catamarca,0
4/9/16,Argentina-Chaco,0
4/9/16,Argentina-Chaco,0
4/9/16,Argentina-Chaco,0
4/9/16,Argentina-Chaco,0
4/9/16,Argentina-Chaco,57
4/9/16,Argentina-Chaco,1
4/9/16,Argentina-Chubut,0
4/9/16,Argentina-Chubut,0
4/9/16,Argentina-Chubut,1
4/9/16,Argentina-Chubut,0
4/9/16,Argentina-Chubut,5
4/9/16,Argentina-Chubut,0
4/9/16,Argentina-Cordoba,1
4/9/16,Argentina-Cordoba,0
4/9/16,Argentina-Cordoba,2
4/9/16,Argentina-Cordoba,0
4/9/16,Argentina-Cordoba,26
4/9/16,Argentina-Cordoba,0
4/9/16,Argentina-Corrientes,0
4/9/16,Argentina-Corrientes,0
4/9/16,Argentina-Corrientes,2
4/9/16,Argentina-Corrientes,0
4/9/16,Argentina-Corrientes,19
4/9/16,Argentina-Corrientes,0
4/9/16,Argentina-Entre_Rios,0
4/9/16,Argentina-Entre_Rios,0
4/9/16,Argentina-Entre_Rios,0
4/9/16,Argentina-Entre_Rios,0
4/9/16,Argentina-Entre_Rios,33
4/9/16,Argentina-Entre_Rios,0
4/9/16,Argentina-Formosa,0
4/9/16,Argentina-Formosa,0
4/9/16,Argentina-Formosa,0
4/9/16,Argentina-Formosa,0
4/9/16,Argentina-Formosa,9
4/9/16,Argentina-Formosa,0
4/9/16,Argentina-Jujuy,0
4/9/16,Argentina-Jujuy,0
4/9/16,Argentina-Jujuy,0
4/9/16,Argentina-Jujuy,0
4/9/16,Argentina-Jujuy,427
4/9/16,Argentina-Jujuy,1
4/9/16,Argentina-La_Pampa,0
4/9/16,Argentina-La_Pampa,0
4/9/16,Argentina-La_Pampa,0
4/9/16,Argentina-La_Pampa,0
4/9/16,Argentina-La_Pampa,2
4/9/16,Argentina-La_Pampa,0
4/9/16,Argentina-La_Rioja,0
4/9/16,Argentina-La_Rioja,0
